State,"Reactor Inlet - Temperature","Compressed - Pressure","BWR - Tube Length","Reactor Outlet - Master Comp Mole Frac (CO)","Reactor Outlet - Master Comp Mole Frac (CO2)","Reactor Outlet - Master Comp Mole Frac (Methanol)","Reactor Outlet - Master Comp Molar Flow (CO)","Reactor Outlet - Master Comp Molar Flow (CO2)","Reactor Outlet - Master Comp Molar Flow (Methanol)"
,"","","","","","","","",""
,"C","kPa","m","","","","kgmole/h","kgmole/h","kgmole/h"
"Case 1","200","1000","0.01","0.0001","0.0110","0.0022","0.0504","4.3309","0.8710"
"Case 2","200","1000","0.5929","0.0011","0.0062","0.0061","0.4346","2.4206","2.3971"
"Case 3","200","1000","1.176","0.0017","0.0059","0.0058","0.6610","2.3153","2.2760"
"Case 4","200","1000","1.759","0.0021","0.0057","0.0056","0.8154","2.2430","2.1940"
"Case 5","200","1000","2.342","0.0024","0.0056","0.0054","0.9259","2.1906","2.1359"
"Case 6","200","1000","2.925","0.0026","0.0055","0.0053","1.0075","2.1516","2.0933"
"Case 7","200","1000","3.508","0.0027","0.0054","0.0052","1.0692","2.1219","2.0612"
"Case 8","200","1000","4.09","0.0028","0.0053","0.0052","1.1167","2.0991","2.0366"
"Case 9","200","1000","4.673","0.0029","0.0053","0.0051","1.1536","2.0812","2.0175"
"Case 10","200","1000","5.256","0.0030","0.0053","0.0051","1.1827","2.0672","2.0025"
"Case 11","200","1000","5.839","0.0031","0.0052","0.0051","1.2058","2.0560","1.9905"
"Case 12","200","1000","6.422","0.0031","0.0052","0.0050","1.2243","2.0471","1.9810"
"Case 13","200","1000","7.005","0.0032","0.0052","0.0050","1.2391","2.0399","1.9733"
"Case 14","200","1000","7.588","0.0032","0.0052","0.0050","1.2511","2.0341","1.9671"
"Case 15","200","1000","8.171","0.0032","0.0052","0.0050","1.2608","2.0295","1.9621"
"Case 16","200","1000","8.754","0.0032","0.0052","0.0050","1.2687","2.0257","1.9579"
"Case 17","200","1000","9.337","0.0032","0.0051","0.0050","1.2752","2.0226","1.9545"
"Case 18","200","1000","9.92","0.0033","0.0051","0.0050","1.2805","2.0201","1.9517"
"Case 19","200","1000","10.5","0.0033","0.0051","0.0050","1.2849","2.0180","1.9494"
"Case 20","200","1000","11.09","0.0033","0.0051","0.0050","1.2885","2.0164","1.9475"
"Case 21","200","1000","11.67","0.0033","0.0051","0.0050","1.2915","2.0150","1.9458"
"Case 22","200","1000","12.25","0.0033","0.0051","0.0049","1.2940","2.0139","1.9445"
"Case 23","200","1000","12.83","0.0033","0.0051","0.0049","1.2960","2.0130","1.9433"
"Case 24","200","1000","13.42","0.0033","0.0051","0.0049","1.2978","2.0122","1.9424"
"Case 25","200","1000","14","0.0033","0.0051","0.0049","1.2992","2.0116","1.9415"
"Case 26","200","1792","0.01","0.0001","0.0107","0.0025","0.0537","4.2309","0.9677"
"Case 27","200","1792","0.5929","0.0010","0.0041","0.0083","0.4012","1.6009","3.2502"
"Case 28","200","1792","1.176","0.0014","0.0039","0.0081","0.5655","1.5382","3.1487"
"Case 29","200","1792","1.759","0.0017","0.0038","0.0079","0.6658","1.5017","3.0849"
"Case 30","200","1792","2.342","0.0019","0.0038","0.0078","0.7303","1.4782","3.0438"
"Case 31","200","1792","2.925","0.0020","0.0037","0.0077","0.7732","1.4625","3.0166"
"Case 32","200","1792","3.508","0.0021","0.0037","0.0077","0.8024","1.4519","2.9980"
"Case 33","200","1792","4.09","0.0021","0.0037","0.0076","0.8227","1.4445","2.9852"
"Case 34","200","1792","4.673","0.0021","0.0037","0.0076","0.8368","1.4394","2.9761"
"Case 35","200","1792","5.256","0.0022","0.0037","0.0076","0.8469","1.4357","2.9698"
"Case 36","200","1792","5.839","0.0022","0.0037","0.0076","0.8540","1.4331","2.9652"
"Case 37","200","1792","6.422","0.0022","0.0037","0.0076","0.8592","1.4313","2.9619"
"Case 38","200","1792","7.005","0.0022","0.0037","0.0076","0.8630","1.4299","2.9595"
"Case 39","200","1792","7.588","0.0022","0.0037","0.0076","0.8657","1.4289","2.9577"
"Case 40","200","1792","8.171","0.0022","0.0037","0.0076","0.8677","1.4282","2.9564"
"Case 41","200","1792","8.754","0.0022","0.0037","0.0076","0.8692","1.4277","2.9554"
"Case 42","200","1792","9.337","0.0022","0.0037","0.0076","0.8703","1.4274","2.9547"
"Case 43","200","1792","9.92","0.0022","0.0037","0.0076","0.8711","1.4271","2.9542"
"Case 44","200","1792","10.5","0.0022","0.0036","0.0076","0.8717","1.4269","2.9537"
"Case 45","200","1792","11.09","0.0022","0.0036","0.0076","0.8722","1.4268","2.9534"
"Case 46","200","1792","11.67","0.0022","0.0036","0.0076","0.8725","1.4267","2.9531"
"Case 47","200","1792","12.25","0.0022","0.0036","0.0076","0.8728","1.4266","2.9529"
