State,"SET-2 - Multiplier","6 - Master Comp Molar Flow (CO)","6 - Master Comp Molar Flow (CO2)","6 - Master Comp Molar Flow (Methanol)","1 - Molar Flow"
,"","","","",""
,"","kgmole/h","kgmole/h","kgmole/h","kgmole/h"
"Case 1","3","0.5653","13.6588","14.1846","81.8"
"Case 2","3.25","0.5666","13.3745","14.4674","88.62"
"Case 3","3.5","0.5679","13.1012","14.7394","95.43"
"Case 4","3.75","0.5691","12.8382","15.0012","102.3"
"Case 5","4","0.5702","12.5850","15.2533","109.1"
"Case 6","4.25","0.5713","12.3410","15.4962","115.9"
"Case 7","4.5","0.5723","12.1059","15.7303","122.7"
"Case 8","4.75","0.5732","11.8791","15.9562","129.5"
"Case 9","5","0.5741","11.6602","16.1742","136.3"
"Case 10","5.25","0.5749","11.4489","16.3847","143.2"
"Case 11","5.5","0.5756","11.2448","16.5881","150"
"Case 12","5.75","0.5762","11.0475","16.7847","156.8"
"Case 13","6","0.5768","10.8568","16.9749","163.6"
"Case 14","6.25","0.5774","10.6722","17.1589","170.4"
"Case 15","6.5","0.5778","10.4936","17.3371","177.2"
"Case 16","6.75","0.5782","10.3206","17.5096","184.1"
"Case 17","7","0.5786","10.1530","17.6769","190.9"
"Case 18","7.25","0.5789","9.9906","17.8390","197.7"
"Case 19","7.5","0.5791","9.8331","17.9962","204.5"
"Case 20","7.75","0.5792","9.6804","18.1488","211.3"
"Case 21","8","0.5794","9.5322","18.2970","218.1"
"Case 22","8.25","0.5794","9.3883","18.4408","225"
"Case 23","8.5","0.5794","9.2485","18.5806","231.8"
"Case 24","8.75","0.5794","9.1127","18.7164","238.6"
"Case 25","9","0.5793","8.9808","18.8484","245.4"
"Case 26","9.25","0.5791","8.8525","18.9769","252.2"
"Case 27","9.5","0.5790","8.7277","19.1018","259"
"Case 28","9.75","0.5787","8.6063","19.2235","265.9"
"Case 29","10","0.5785","8.4881","19.3419","272.7"
"Case 30","10.25","0.5782","8.3731","19.4573","279.5"
"Case 31","10.5","0.5778","8.2610","19.5697","286.3"
"Case 32","10.75","0.5774","8.1519","19.6792","293.1"
"Case 33","11","0.5770","8.0455","19.7860","299.9"
"Case 34","11.25","0.5766","7.9418","19.8901","306.8"
"Case 35","11.5","0.5761","7.8407","19.9917","313.6"
"Case 36","11.75","0.5756","7.7420","20.0909","320.4"
"Case 37","12","0.5750","7.6458","20.1876","327.2"
"Case 38","12.25","0.5745","7.5519","20.2821","334"
"Case 39","12.5","0.5739","7.4602","20.3744","340.8"
"Case 40","12.75","0.5733","7.3707","20.4645","347.7"
"Case 41","13","0.5726","7.2833","20.5526","354.5"
"Case 42","13.25","0.5720","7.1978","20.6387","361.3"
"Case 43","13.5","0.5713","7.1143","20.7228","368.1"
"Case 44","13.75","0.5706","7.0327","20.8051","374.9"
"Case 45","14","0.5699","6.9530","20.8856","381.7"
"Case 46","14.25","0.5692","6.8749","20.9644","388.6"
"Case 47","14.5","0.5684","6.7986","21.0414","395.4"
"Case 48","14.75","0.5677","6.7240","21.1168","402.2"
"Case 49","15","0.5669","6.6509","21.1907","409"
"Case 50","15.25","0.5661","6.5794","21.2630","415.8"
"Case 51","15.5","0.5653","6.5093","21.3338","422.6"
"Case 52","15.75","0.5645","6.4408","21.4032","429.5"
"Case 53","16","0.5637","6.3736","21.4712","436.3"
"Case 54","16.25","0.5629","6.3078","21.5378","443.1"
"Case 55","16.5","0.5621","6.2433","21.6031","449.9"
"Case 56","16.75","0.5612","6.1801","21.6671","456.7"
"Case 57","17","0.5604","6.1182","21.7299","463.5"
"Case 58","17.25","0.5596","6.0575","21.7915","470.4"
"Case 59","17.5","0.5587","5.9979","21.8519","477.2"
"Case 60","17.75","0.5579","5.9395","21.9111","484"
"Case 61","18","0.5570","5.8822","21.9693","490.8"
"Case 62","18.25","0.5561","5.8260","22.0263","497.6"
"Case 63","18.5","0.5553","5.7709","22.0823","504.4"
"Case 64","18.75","0.5544","5.7167","22.1373","511.3"
"Case 65","19","0.5536","5.6636","22.1913","518.1"
"Case 66","19.25","0.5527","5.6114","22.2444","524.9"
"Case 67","19.5","0.5518","5.5602","22.2965","531.7"
"Case 68","19.75","0.5510","5.5099","22.3476","538.5"
"Case 69","20","0.5501","5.4605","22.3979","545.3"
"Case 70","20.25","0.5493","5.4119","22.4473","552.2"
"Case 71","20.5","0.5484","5.3642","22.4959","559"
"Case 72","20.75","0.5475","5.3173","22.5436","565.8"
"Case 73","21","0.5467","5.2713","22.5906","572.6"
"Case 74","21.25","0.5458","5.2260","22.6367","579.4"
"Case 75","21.5","0.5450","5.1814","22.6821","586.2"
"Case 76","21.75","0.5441","5.1377","22.7267","593.1"
"Case 77","22","0.5433","5.0946","22.7706","599.9"
"Case 78","22.25","0.5425","5.0522","22.8138","606.7"
"Case 79","22.5","0.5416","5.0106","22.8563","613.5"
"Case 80","22.75","0.5408","4.9696","22.8981","620.3"
"Case 81","23","0.5400","4.9293","22.9392","627.1"
"Case 82","23.25","0.5392","4.8896","22.9797","634"
"Case 83","23.5","0.5384","4.8506","23.0196","640.8"
"Case 84","23.75","0.5376","4.8121","23.0588","647.6"
"Case 85","24","0.5368","4.7743","23.0975","654.4"
"Case 86","24.25","0.5360","4.7370","23.1355","661.2"
"Case 87","24.5","0.5352","4.7003","23.1730","668"
"Case 88","24.75","0.5344","4.6642","23.2099","674.9"
"Case 89","25","0.5336","4.6286","23.2462","681.7"
"Case 90","25.25","0.5329","4.5936","23.2820","688.5"
"Case 91","25.5","0.5321","4.5591","23.3173","695.3"
"Case 92","25.75","0.5313","4.5251","23.3521","702.1"
"Case 93","26","0.5306","4.4916","23.3863","708.9"
"Case 94","26.25","0.5298","4.4585","23.4201","715.8"
"Case 95","26.5","0.5291","4.4260","23.4534","722.6"
"Case 96","26.75","0.5284","4.3939","23.4862","729.4"
"Case 97","27","0.5277","4.3623","23.5185","736.2"
"Case 98","27.25","0.5269","4.3311","23.5504","743"
"Case 99","27.5","0.5262","4.3004","23.5818","749.8"
"Case 100","27.75","0.5255","4.2701","23.6128","756.7"
"Case 101","28","0.5249","4.2402","23.6434","763.5"
"Case 102","28.25","0.5242","4.2108","23.6736","770.3"
"Case 103","28.5","0.5235","4.1817","23.7033","777.1"
"Case 104","28.75","0.5228","4.1530","23.7326","783.9"
"Case 105","29","0.5222","4.1247","23.7616","790.7"
